Departure Time,Travel Time,Average,
5:00 AM-5:15 AM,9:47,61,
5:15 AM-5:30 AM,9:42,62,
5:30 AM-5:45 AM,9:32,63,
5:45 AM-6:00 AM,9:50,61,
6:00 AM-6:15 AM,9:30,63,
6:15 AM-6:30 AM,9:50,61,
6:30 AM-6:45 AM,9:19,64,
6:45 AM-7:00 AM,9:19,64,
7:00 AM-7:15 AM,9:27,63,
7:15 AM-7:30 AM,9:19,64,
7:30 AM-7:45 AM,9:13,65,
7:45 AM-8:00 AM,9:10,65,
8:00 AM-8:15 AM,9:19,64,
8:15 AM-8:30 AM,9:12,65,
8:30 AM-8:45 AM,9:16,65,
8:45 AM-9:00 AM,9:17,65,
9:00 AM-9:15 AM,9:26,64,
9:15 AM-9:30 AM,9:28,63,
9:30 AM-9:45 AM,9:18,65,
9:45 AM-10:00 AM,9:52,61,
10:00 AM-10:15 AM,9:25,64,
10:15 AM-10:30 AM,9:27,63,
10:30 AM-10:45 AM,9:36,62,
10:45 AM-11:00 AM,9:36,62,
11:00 AM-11:15 AM,9:24,64,
11:15 AM-11:30 AM,9:29,63,
11:30 AM-11:45 AM,9:20,64,
11:45 AM-12:00 PM,9:18,65,
12:00 PM-12:15 PM,9:36,62,
12:15 PM-12:30 PM,9:26,64,
12:30 PM-12:45 PM,9:15,65,
12:45 PM-1:00 PM,9:16,65,
1:00 PM-1:15 PM,9:10,65,
1:15 PM-1:30 PM,9:12,65,
1:30 PM-1:45 PM,9:33,63,
1:45 PM-2:00 PM,9:09,66,
2:00 PM-2:15 PM,9:13,65,
2:15 PM-2:30 PM,9:11,65,
2:30 PM-2:45 PM,9:11,65,
2:45 PM-3:00 PM,9:05,66,
3:00 PM-3:15 PM,9:12,65,
3:15 PM-3:30 PM,9:19,64,
3:30 PM-3:45 PM,9:32,63,
3:45 PM-4:00 PM,10:28,57,
4:00 PM-4:15 PM,12:54,47,
4:15 PM-4:30 PM,17:57,33,
4:30 PM-4:45 PM,20:56,29,
4:45 PM-5:00 PM,22:57,26,
5:00 PM-5:15 PM,23:44,25,
5:15 PM-5:30 PM,24:36:00,24,
5:30 PM-5:45 PM,24:24:00,25,
5:45 PM-6:00 PM,23:18,26,
6:00 PM-6:15 PM,21:25,28,
6:15 PM-6:30 PM,18:59,32,
6:30 PM-6:45 PM,16:32,36,
6:45 PM-7:00 PM,13:37,44,
